iter	RMSE
0	15.5769717
1	15.44264571
2	15.28431671
3	15.12394868
4	14.98259141
5	14.82440187
6	14.70084691
7	14.56460061
8	14.4608934
9	14.3683035
10	14.22236182
11	14.14399595
12	14.02515604
13	13.92173011
14	13.77736674
15	13.68064174
16	13.56067816
17	13.43785796
18	13.35621985
19	13.24565321
20	13.13853676
21	13.05708964
22	12.95621298
23	12.8372552
24	12.74728129
25	12.63818539
26	12.53959498
27	12.44004793
28	12.35582973
29	12.27610453
30	12.18802378
31	12.05173849
32	11.95315193
33	11.86383965
34	11.78672352
35	11.7002114
36	11.60209203
37	11.51890613
38	11.44003271
39	11.33871316
40	11.26794533
41	11.19966567
42	11.1360438
43	11.0580515
44	10.98008882
45	10.89344976
46	10.81925825
47	10.74624149
48	10.64927228
49	10.59776945
50	10.50810962
51	10.43298644
52	10.35059914
53	10.27725298
54	10.20805793
55	10.16691733
56	10.09818989
57	10.03950852
58	9.959590167
59	9.884937656
60	9.821950227
61	9.749396337
62	9.678814271
63	9.63029616
64	9.572579892
65	9.511001611
66	9.427753514
67	9.372219475
68	9.314189534
69	9.233689868
70	9.17687231
71	9.120811324
72	9.066249119
73	9.031217024
74	8.988857662
75	8.927833666
76	8.861317895
77	8.803724553
78	8.754554632
79	8.689710144
80	8.634767776
81	8.594430654
82	8.545789911
83	8.472731367
84	8.423713174
85	8.361220606
86	8.308150236
87	8.275953121
88	8.237737549
89	8.18516259
90	8.131817442
91	8.070198183
92	8.011391132
93	7.967770707
94	7.897693767
95	7.845854722
96	7.78271979
97	7.747857498
98	7.709127752
99	7.661832422
100	7.622758107
101	7.58129559
102	7.549026891
103	7.505917516
104	7.464025075
105	7.415047914
106	7.365659789
107	7.317006997
108	7.267088313
109	7.217914911
110	7.165718992
111	7.112507596
112	7.076490754
113	7.029512966
114	6.981644391
115	6.925123699
116	6.8809857
117	6.838098514
118	6.810461038
119	6.772098662
120	6.743353082
121	6.708525861
122	6.664023992
123	6.627143611
124	6.586791385
125	6.554005813
126	6.52126299
127	6.483744577
128	6.444215895
129	6.419393227
130	6.37746265
131	6.346370733
132	6.302451818
133	6.251451977
134	6.228890753
135	6.189521335
136	6.144244194
137	6.100289763
138	6.070186916
139	6.029150731
140	5.991450979
141	5.958003112
142	5.916294949
143	5.881708949
144	5.832981082
145	5.785635013
146	5.759179391
147	5.71916327
148	5.684729348
149	5.652465885
150	5.626494909
151	5.58209474
152	5.536280403
153	5.493273024
154	5.460519177
155	5.433167494
156	5.399641449
157	5.365572812
158	5.34056253
159	5.294754701
160	5.260648364
161	5.228980971
162	5.192269287
163	5.160196772
164	5.128690342
165	5.087914702
166	5.059122575
167	5.011557482
168	4.982626427
169	4.948716714
170	4.91016278
171	4.886174141
172	4.846358083
