iter	Passed	Remaining
0	51	51473
1	52	26178
2	53	17751
3	54	13537
4	55	11006
5	56	9357
6	57	8132
7	58	7215
8	59	6503
9	59	5932
10	60	5476
11	61	5094
12	62	4764
13	63	4480
14	64	4233
15	65	4018
16	66	3828
17	67	3657
18	67	3509
19	68	3376
20	69	3261
21	70	3148
22	71	3044
23	72	2949
24	73	2862
25	74	2781
26	75	2705
27	75	2635
28	76	2570
29	77	2511
30	78	2453
31	79	2401
32	80	2350
33	81	2302
34	81	2258
35	82	2217
36	83	2180
37	84	2148
38	85	2114
39	86	2080
40	87	2048
41	88	2013
42	89	1983
43	89	1954
44	90	1928
45	91	1898
46	92	1872
47	93	1849
48	94	1826
49	95	1805
50	95	1783
51	96	1762
52	97	1743
53	98	1726
54	99	1712
55	100	1696
56	101	1679
57	102	1664
58	103	1648
59	104	1633
60	105	1618
61	105	1603
62	106	1589
63	107	1574
64	108	1563
65	109	1550
66	110	1537
67	111	1524
68	112	1512
69	113	1502
70	114	1492
71	115	1482
72	116	1473
73	116	1462
74	117	1452
75	118	1441
76	119	1431
77	120	1421
78	121	1412
79	121	1402
80	122	1394
81	123	1385
82	124	1377
83	125	1369
84	126	1360
85	127	1352
86	128	1346
87	129	1345
88	130	1340
89	131	1333
90	132	1327
91	133	1319
92	134	1312
93	135	1305
94	136	1298
95	137	1291
96	137	1284
97	138	1277
98	139	1271
99	140	1265
100	141	1258
101	142	1252
102	143	1247
103	144	1244
104	145	1238
105	146	1232
106	147	1227
107	147	1221
108	148	1215
109	149	1210
110	150	1204
111	151	1199
112	152	1193
113	152	1188
114	153	1183
115	154	1178
116	155	1173
117	156	1169
118	157	1164
119	157	1158
120	158	1152
121	159	1146
122	160	1140
123	160	1135
124	161	1129
125	162	1123
126	162	1118
127	163	1113
128	164	1108
129	164	1103
130	165	1097
131	166	1092
132	166	1088
133	167	1083
134	168	1078
135	168	1073
136	169	1068
137	170	1063
138	170	1059
139	171	1054
140	172	1050
141	173	1045
142	173	1041
143	174	1036
144	175	1032
145	175	1027
146	176	1025
147	177	1020
148	177	1016
149	178	1012
150	179	1008
151	180	1004
152	180	1000
153	181	996
